sample,total,mapped,duplicated,multimapped,exonic,intronic,intergenic
ESC_Rep1,20240523,19535892,15165783,3077223,12210510,2783091,267183
ESC_Rep2,26448437,25552098,19691196,3286724,16676124,3624366,399946
Epi_Rep1,30080561,28999720,22244404,3679174,18552502,4394990,501078
Epi_Rep2,32693528,31926912,24326624,4347627,20242908,4816852,459762
Meso_Rep2,23160965,22105489,16791027,2395091,13789101,3382713,1003882
OSC-D7_Rep1,27723234,26392068,18926114,2556308,17736052,3953895,671442
OSC-D7_Rep2,29777618,28074186,21795614,2322830,17954899,4200560,1637880
OSC-D8_Rep1,30361756,28643478,21732325,2182830,18855519,4103414,1677313
OSC-D8_Rep2,21652243,20208438,15301972,1592063,13517905,2944355,930318
OSC-D9_Rep1,27672846,27083806,19611990,2582211,18946419,3800486,550089
OSC-D9_Rep2,35676498,33501711,25809227,2303525,22252370,4752849,1952398
OSC-D10_Rep1,26884215,25731731,18383500,2089670,18334795,3449828,672838
OSC-D10_Rep2,17273450,16531605,11387364,1563415,11428875,2451360,318140
