sample,% mapped,% duplicated,% multimapped,% exonic,% intronic,% intergenic
ESC_Rep1,96.52,77.63,15.75,80.01,18.24,1.75
ESC_Rep2,96.61,77.06,12.86,80.56,17.51,1.93
Epi_Rep1,96.41,76.71,12.69,79.12,18.74,2.14
Epi_Rep2,97.66,76.19,13.62,79.32,18.88,1.80
Meso_Rep2,95.44,75.96,10.83,75.87,18.61,5.52
OSC-D7_Rep1,95.20,71.71,9.69,79.32,17.68,3.00
OSC-D7_Rep2,94.28,77.64,8.27,75.46,17.65,6.88
OSC-D8_Rep1,94.34,75.87,7.62,76.54,16.66,6.81
OSC-D8_Rep2,93.33,75.72,7.88,77.72,16.93,5.35
OSC-D9_Rep1,97.87,72.41,9.53,81.33,16.31,2.36
OSC-D9_Rep2,93.90,77.04,6.88,76.84,16.41,6.74
OSC-D10_Rep1,95.71,71.44,8.12,81.64,15.36,3.00
OSC-D10_Rep2,95.71,68.88,9.46,80.49,17.27,2.24
