Gene,Cell_type,Figure
Wt1,Somatic cells,main
Wt1os,Somatic cells,main
Gata4,Somatic cells,sup
Nr5a1,Somatic cells,sup
Sox9,Sertoli cells,main
Sox8,Sertoli cells,sup
Fgf9,Sertoli cells,sup
Amh,Sertoli cells,main
Dhh,Sertoli cells,sup
Sry,Sertoli cells,main
Foxl2,Pre-granulosa cells,main
Fst,Pre-granulosa cells,main
Bmp2,Pre-granulosa cells,sup
Wnt4,Pre-granulosa cells,sup
Runx1,Pre-granulosa cells,sup
Rspo1,Pre-granulosa cells,main
Cyp11a1,Leydig cells,main
Hsd3b1,Leydig cells,main
Star,Leydig cells,main
Insl3,Leydig cells,sup
Cyp17a1,Leydig cells,sup
Lhcgr,Leydig cells,sup
Dazl,Germ cells,main
Ddx4,Germ cells,main
Nanos3,Germ cells,main
Stra8,Germ cells,sup
Sycp3,Germ cells,sup
